-0.8751 0.2694 3.3655
-0.8751 0.2584 3.3655
-0.8751 0.2475 3.3655
-0.8751 0.2365 3.3655
-0.8751 0.2256 3.3655
-0.8751 0.2146 3.3655
-0.8751 0.2036 3.3655
-0.8751 0.1926 3.3655
-0.8751 0.1816 3.3655
-0.8751 0.1706 3.3655
-0.8751 0.1596 3.3655
-0.8751 0.1485 3.3655
-0.8751 0.1375 3.3655
-0.8751 0.1264 3.3655
-0.8751 0.1153 3.3655
-0.8751 0.1043 3.3655
-0.8751 0.0932 3.3655
-0.8751 0.0821 3.3655
-0.8751 0.071 3.3655
-0.8751 0.0599 3.3655
-0.8751 0.0487 3.3655
-0.8751 0.0376 3.3655
-0.8751 0.0265 3.3655
-0.8751 0.0153 3.3655
-0.8751 0.0041 3.3655
-0.8751 -0 3.3655
-0.8751 0 3.3655
-0.8751 0.0078 3.3655
-0.8751 0.0156 3.3655
-0.8751 0.0234 3.3655
-0.8751 0.0312 3.3655
-0.8751 0.039 3.3655
-0.8751 0.0467 3.3655
-0.8751 0.0545 3.3655
-0.8751 0.0623 3.3655
-0.8751 0.07 3.3655
-0.8751 0.0777 3.3655
-0.8751 0.0854 3.3655
-0.8751 0.0931 3.3655
-0.8751 0.1008 3.3655
-0.8751 0.1085 3.3655
-0.8751 0.1162 3.3655
-0.8751 0.1239 3.3655
-0.8751 0.1315 3.3655
-0.8751 0.1392 3.3655
-0.8751 0.1468 3.3655
-0.8751 0.1545 3.3655
-0.8751 0.1621 3.3655
-0.8751 0.1697 3.3655
-0.8751 0.1773 3.3655
-0.8751 0.1849 3.3655
-0.8751 0.1925 3.3655
-0.8751 0.2 3.3655
-0.8751 0.2076 3.3655
-0.8751 0.2151 3.3655
-0.8751 0.2227 3.3655
-0.8751 0.2302 3.3655
-0.8751 0.2377 3.3655
-0.8751 0.2452 3.3655
-0.8751 0.2527 3.3655
-0.8751 0.2602 3.3655
-0.8751 0.2677 3.3655
-0.8751 0.2752 3.3655
-0.8751 0.2827 3.3655
-0.8751 0.2901 3.3655
-0.8751 0.2976 3.3655
-0.8751 0.305 3.3655
-0.8751 0.3124 3.3655
-0.8751 0.3198 3.3655
-0.8751 0.3272 3.3655
-0.8751 0.3346 3.3655
-0.8751 0.342 3.3655
-0.8751 0.3494 3.3655
-0.8751 0.3567 3.3655
-0.8751 0.3641 3.3655
-0.8751 0.3714 3.3655
-0.8751 0.3788 3.3655
-0.8751 0.3861 3.3655
-0.8751 0.3934 3.3655
-0.8751 0.4007 3.3655
-0.8751 0.408 3.3655
-0.8751 0.4153 3.3655
-0.8751 0.4226 3.3655
-0.8751 0.4299 3.3655
-0.8751 0.4371 3.3655
-0.8751 0.4444 3.3655
-0.8751 0.4516 3.3655
-0.8751 0.4588 3.3655
-0.8751 0.466 3.3655
-0.8751 0.4732 3.3655
-0.8751 0.4804 3.3655
-0.8751 0.4876 3.3655
-0.8751 0.4948 3.3655
-0.8751 0.502 3.3655
-0.8751 0.5091 3.3655
-0.8751 0.5163 3.3655
-0.8751 0.5234 3.3655
-0.8751 0.5306 3.3655
-0.8751 0.5377 3.3655
-0.8751 0.5448 3.3655
-0.8751 0.5519 3.3655
